iter	Passed	Remaining
228	4991	16806
229	5001	16743
230	5010	16681
231	5021	16621
232	5033	16568
233	5042	16508
234	5057	16463
235	5067	16404
236	5076	16344
237	5086	16286
238	5096	16227
239	5105	16167
240	5115	16111
241	5125	16055
242	5134	15996
243	5144	15940
244	5154	15884
245	5170	15846
246	5179	15789
247	5189	15735
248	5199	15680
249	5208	15625
250	5221	15582
251	5231	15528
252	5257	15523
253	5270	15478
254	5280	15425
255	5289	15373
256	5300	15322
257	5309	15270
258	5325	15235
259	5334	15183
260	5344	15132
261	5361	15103
262	5373	15058
263	5382	15006
264	5392	14956
265	5401	14906
266	5411	14856
267	5421	14807
268	5430	14757
269	5440	14708
270	5449	14659
271	5460	14614
272	5470	14566
273	5480	14521
274	5490	14474
275	5499	14426
276	5508	14378
277	5521	14339
278	5535	14305
279	5554	14282
280	5564	14237
281	5576	14197
282	5588	14160
283	5598	14115
284	5608	14071
285	5618	14027
286	5628	13983
287	5637	13937
288	5652	13907
289	5662	13864
290	5672	13820
291	5682	13777
292	5692	13736
293	5702	13693
294	5712	13651
295	5721	13607
296	5731	13565
297	5750	13545
298	5758	13501
299	5768	13459
300	5778	13419
301	5788	13377
302	5797	13337
303	5807	13296
304	5819	13261
305	5829	13221
306	5839	13180
307	5848	13141
308	5863	13111
309	5873	13072
310	5882	13032
311	5891	12992
312	5901	12953
313	5911	12914
314	5920	12875
315	5930	12836
316	5946	12811
317	5954	12771
318	5965	12734
319	5974	12695
320	5984	12659
321	5994	12622
322	6003	12583
323	6013	12545
324	6022	12508
325	6032	12471
326	6041	12434
327	6050	12396
328	6060	12359
329	6069	12322
330	6078	12285
331	6088	12250
332	6096	12212
333	6106	12176
334	6128	12166
335	6145	12144
336	6168	12135
337	6189	12121
338	6199	12087
339	6209	12052
340	6218	12017
341	6228	11982
342	6238	11948
343	6248	11915
344	6260	11885
345	6269	11851
346	6279	11817
347	6289	11783
348	6298	11748
349	6308	11715
350	6328	11701
351	6339	11670
352	6350	11640
353	6361	11608
354	6371	11577
355	6383	11547
356	6393	11515
357	6402	11481
358	6415	11454
359	6432	11436
360	6446	11410
361	6456	11379
362	6466	11346
363	6475	11314
364	6485	11283
365	6494	11250
366	6505	11219
367	6521	11200
368	6530	11168
369	6540	11136
370	6550	11105
371	6559	11073
372	6569	11043
373	6578	11011
374	6588	10980
375	6598	10950
376	6608	10920
377	6618	10891
378	6628	10861
379	6637	10830
380	6646	10799
381	6656	10769
382	6666	10739
383	6676	10709
384	6690	10687
385	6700	10658
386	6721	10647
387	6731	10617
388	6741	10588
389	6751	10560
390	6762	10532
391	6771	10502
392	6780	10472
393	6789	10442
394	6798	10412
395	6807	10383
396	6817	10355
397	6827	10327
398	6838	10300
399	6847	10271
400	6856	10242
401	6866	10213
402	6876	10186
403	6893	10170
404	6903	10142
405	6913	10115
406	6923	10088
407	6933	10060
408	6943	10033
409	6953	10006
410	6962	9978
411	6975	9955
412	6985	9928
413	6995	9901
414	7004	9874
415	7014	9847
416	7026	9824
417	7038	9800
418	7049	9774
419	7059	9748
420	7068	9721
421	7094	9716
422	7109	9698
423	7120	9673
424	7131	9648
425	7140	9621
426	7151	9596
427	7160	9569
428	7170	9544
429	7180	9518
430	7190	9492
431	7200	9467
432	7208	9439
433	7219	9414
434	7229	9389
435	7241	9367
436	7251	9342
437	7262	9318
438	7271	9292
439	7291	9279
440	7304	9259
441	7317	9237
442	7328	9213
443	7337	9188
444	7346	9162
445	7355	9136
446	7364	9111
447	7374	9086
448	7384	9062
449	7395	9038
450	7404	9013
451	7421	8997
452	7431	8973
453	7441	8948
454	7452	8926
455	7462	8902
456	7479	8886
457	7489	8862
458	7498	8838
459	7513	8820
460	7523	8796
461	7533	8773
462	7543	8748
463	7553	8725
464	7563	8702
465	7573	8678
466	7583	8655
467	7595	8634
468	7606	8612
469	7616	8588
470	7627	8566
471	7636	8542
472	7646	8519
473	7655	8495
474	7672	8480
475	7685	8460
476	7695	8437
477	7705	8415
478	7716	8392
479	7725	8369
480	7736	8348
481	7746	8324
482	7755	8301
483	7764	8278
484	7774	8255
485	7784	8233
486	7794	8210
487	7813	8197
488	7823	8175
489	7833	8152
490	7842	8130
491	7852	8108
492	7870	8094
493	7880	8071
494	7889	8049
495	7899	8026
496	7908	8003
497	7918	7982
498	7931	7963
499	7943	7943
500	7952	7920
501	7962	7898
502	7971	7876
503	7981	7854
504	7990	7832
505	8004	7815
506	8014	7793
507	8029	7776
508	8051	7766
509	8071	7754
510	8080	7732
511	8089	7710
512	8100	7689
513	8109	7668
514	8120	7647
515	8130	7626
516	8139	7604
517	8149	7582
518	8159	7561
519	8168	7540
520	8184	7524
521	8194	7503
522	8207	7485
523	8220	7467
524	8232	7448
525	8241	7427
526	8251	7405
527	8272	7395
528	8282	7374
529	8292	7353
530	8302	7332
531	8311	7311
532	8321	7291
533	8330	7269
534	8340	7248
535	8349	7227
536	8359	7207
537	8368	7186
538	8378	7165
539	8388	7145
540	8397	7124
541	8407	7104
542	8417	7084
543	8427	7063
544	8437	7043
545	8446	7023
546	8464	7009
547	8474	6989
548	8484	6969
549	8494	6949
550	8506	6931
551	8515	6911
552	8529	6894
553	8539	6874
554	8549	6855
555	8559	6835
556	8568	6815
557	8578	6795
558	8588	6775
559	8598	6755
560	8607	6735
561	8617	6716
562	8626	6696
563	8637	6677
564	8656	6665
565	8665	6644
566	8675	6624
567	8685	6605
568	8695	6586
569	8705	6566
570	8715	6547
571	8724	6528
572	8734	6509
573	8745	6490
574	8754	6470
575	8764	6451
576	8773	6431
577	8788	6416
578	8797	6396
579	8806	6377
580	8816	6358
581	8830	6341
582	8847	6328
583	8857	6309
584	8867	6290
585	8876	6271
586	8886	6252
587	8896	6233
588	8906	6214
589	8915	6195
590	8926	6177
591	8935	6158
592	8945	6139
593	8968	6129
594	8977	6110
595	8988	6092
596	8998	6074
597	9008	6055
598	9018	6037
599	9040	6026
600	9050	6008
601	9060	5990
602	9071	5972
603	9082	5954
604	9093	5936
605	9109	5922
606	9120	5905
607	9135	5889
608	9144	5871
609	9154	5852
610	9163	5834
611	9173	5815
612	9183	5797
613	9192	5779
614	9202	5760
615	9212	5742
616	9228	5728
617	9238	5710
618	9247	5691
619	9257	5673
620	9266	5655
621	9277	5637
622	9287	5620
623	9297	5602
624	9306	5584
625	9316	5566
626	9326	5548
627	9337	5530
628	9347	5513
629	9357	5495
630	9366	5477
631	9375	5459
632	9388	5443
633	9397	5425
634	9407	5407
635	9428	5396
636	9444	5381
637	9453	5363
638	9463	5346
639	9473	5328
640	9483	5311
641	9492	5293
642	9503	5276
643	9512	5258
644	9523	5241
645	9533	5224
646	9543	5206
647	9552	5189
648	9564	5172
649	9574	5155
650	9583	5137
651	9593	5120
652	9603	5103
653	9619	5089
654	9631	5072
655	9640	5055
656	9649	5037
657	9660	5021
658	9669	5003
659	9679	4986
660	9688	4968
661	9701	4953
662	9712	4936
663	9726	4921
664	9738	4905
665	9748	4888
666	9758	4871
667	9768	4854
668	9777	4837
669	9787	4820
670	9796	4803
671	9814	4790
672	9823	4772
673	9832	4755
674	9844	4739
675	9854	4723
676	9879	4713
677	9893	4698
678	9902	4681
679	9912	4664
680	9921	4647
681	9930	4630
682	9939	4613
683	9949	4596
684	9958	4579
685	9967	4562
686	9977	4546
687	9993	4531
688	10012	4519
689	10022	4503
690	10032	4486
691	10042	4469
692	10052	4453
693	10062	4436
694	10071	4419
695	10081	4403
696	10090	4386
697	10101	4370
698	10110	4353
699	10120	4337
700	10130	4320
701	10140	4304
702	10149	4288
703	10160	4271
704	10170	4255
705	10194	4245
706	10204	4229
707	10214	4212
708	10223	4196
709	10233	4179
710	10246	4164
711	10255	4148
712	10264	4131
713	10277	4116
714	10286	4100
715	10295	4083
716	10304	4067
717	10314	4051
718	10323	4034
719	10333	4018
720	10344	4002
721	10353	3986
722	10363	3970
723	10377	3956
724	10389	3940
725	10398	3924
726	10409	3908
727	10419	3893
728	10429	3877
729	10439	3861
730	10449	3845
731	10459	3829
732	10468	3813
733	10478	3797
734	10488	3781
735	10498	3765
736	10508	3750
737	10519	3734
738	10528	3718
739	10538	3702
740	10552	3688
741	10574	3676
742	10585	3661
743	10595	3645
744	10604	3629
745	10617	3615
746	10627	3599
747	10637	3583
748	10646	3567
749	10656	3552
750	10665	3536
751	10675	3520
752	10685	3505
753	10694	3489
754	10704	3473
755	10717	3459
756	10726	3443
757	10736	3427
758	10746	3412
759	10762	3398
760	10776	3384
761	10798	3372
762	10808	3357
763	10818	3341
764	10829	3326
765	10841	3311
766	10852	3296
767	10863	3281
768	10876	3267
769	10888	3252
770	10898	3237
771	10909	3222
772	10919	3206
773	10929	3191
774	10940	3176
775	10960	3163
776	10970	3148
777	10979	3132
778	10988	3117
779	10998	3102
780	11007	3086
781	11017	3071
782	11026	3055
783	11036	3040
784	11046	3025
785	11056	3010
786	11065	2994
787	11074	2979
788	11084	2964
789	11094	2949
790	11104	2934
791	11114	2918
792	11133	2906
793	11149	2892
794	11167	2879
795	11176	2864
796	11185	2849
797	11195	2833
798	11206	2819
799	11215	2803
800	11224	2788
801	11233	2773
802	11242	2758
803	11252	2743
804	11262	2728
805	11272	2713
806	11281	2698
807	11291	2683
808	11301	2668
809	11311	2653
810	11320	2638
811	11335	2624
812	11346	2609
813	11356	2594
814	11366	2580
815	11376	2565
816	11386	2550
817	11397	2535
818	11406	2520
819	11419	2506
820	11429	2491
821	11439	2477
822	11448	2462
823	11458	2447
824	11467	2432
825	11478	2418
826	11489	2403
827	11504	2389
828	11515	2375
829	11534	2362
830	11544	2347
831	11554	2333
832	11565	2318
833	11575	2303
834	11584	2289
835	11594	2274
836	11604	2259
837	11613	2245
838	11623	2230
839	11632	2215
840	11643	2201
841	11652	2186
842	11662	2171
843	11672	2157
844	11682	2142
845	11705	2130
846	11731	2119
847	11748	2105
848	11760	2091
849	11773	2077
850	11784	2063
851	11794	2048
852	11804	2034
853	11814	2019
854	11824	2005
855	11834	1990
856	11843	1976
857	11853	1961
858	11862	1947
859	11872	1932
860	11882	1918
861	11901	1905
862	11911	1890
863	11920	1876
864	11930	1862
865	11939	1847
866	11948	1832
867	11958	1818
868	11967	1804
869	11976	1789
870	11986	1775
871	11995	1760
872	12005	1746
873	12016	1732
874	12026	1718
875	12037	1703
876	12046	1689
877	12058	1675
878	12067	1661
879	12076	1646
880	12104	1635
881	12114	1620
882	12124	1606
883	12134	1592
884	12143	1577
885	12153	1563
886	12163	1549
887	12173	1535
888	12183	1521
889	12194	1507
890	12203	1492
891	12212	1478
892	12222	1464
893	12232	1450
894	12242	1436
895	12252	1422
896	12262	1408
897	12271	1393
898	12280	1379
899	12301	1366
900	12310	1352
901	12320	1338
902	12330	1324
903	12341	1310
904	12350	1296
905	12361	1282
906	12370	1268
907	12379	1254
908	12389	1240
909	12404	1226
910	12414	1212
911	12423	1198
912	12433	1184
913	12442	1170
914	12453	1156
915	12462	1142
916	12470	1128
917	12486	1115
918	12499	1101
919	12509	1087
920	12520	1073
921	12530	1060
922	12539	1046
923	12549	1032
924	12559	1018
925	12568	1004
926	12578	990
927	12587	976
928	12597	962
929	12610	949
930	12620	935
931	12630	921
932	12644	908
933	12666	895
934	12680	881
935	12690	867
936	12699	853
937	12709	840
938	12718	826
939	12728	812
940	12738	798
941	12748	784
942	12758	771
943	12767	757
944	12777	743
945	12786	729
946	12796	716
947	12806	702
948	12816	688
949	12826	675
950	12836	661
951	12845	647
952	12864	634
953	12874	620
954	12884	607
955	12897	593
956	12906	579
957	12916	566
958	12926	552
959	12938	539
960	12948	525
961	12957	511
962	12967	498
963	12977	484
964	12986	471
965	12996	457
966	13005	443
967	13015	430
968	13025	416
969	13042	403
970	13053	389
971	13063	376
972	13074	362
973	13083	349
974	13093	335
975	13104	322
976	13113	308
977	13123	295
978	13134	281
979	13144	268
980	13153	254
981	13165	241
982	13175	227
983	13185	214
984	13194	200
985	13203	187
986	13213	174
987	13233	160
988	13242	147
989	13252	133
990	13260	120
991	13270	107
992	13286	93
993	13295	80
994	13305	66
995	13322	53
996	13344	40
997	13368	26
998	13393	13
999	13424	0
