iter	RMSE
182	0.675012431
183	0.6749661806
184	0.6749372313
185	0.6748961929
186	0.6748537419
187	0.6747806813
188	0.6746473385
189	0.674571772
190	0.6744999567
191	0.6744457379
192	0.6743802448
193	0.6740741905
194	0.6740343533
195	0.6739707946
196	0.6738592904
197	0.6737976305
198	0.6737195441
199	0.6736798648
200	0.6736399557
201	0.6736161127
202	0.673539082
203	0.6734864926
204	0.6734443742
205	0.6733867709
206	0.6732962005
207	0.6732489146
208	0.6732281497
209	0.6731310643
210	0.673070712
211	0.6730155436
212	0.6729948499
213	0.6728880437
214	0.6728057745
215	0.6727589476
216	0.6726783303
217	0.6725947315
218	0.6725301415
219	0.6722901025
220	0.6722436465
221	0.672194673
222	0.6721453514
223	0.6720669434
224	0.6719612221
225	0.6719319472
226	0.671866739
227	0.6718312219
228	0.6717847789
229	0.6717532004
230	0.6717309558
231	0.6716621483
232	0.6715906086
233	0.6715492454
234	0.6714901256
235	0.671401697
236	0.671344463
237	0.6712832808
238	0.6712044046
239	0.671163239
240	0.6711052562
241	0.6710552293
242	0.6710218595
243	0.670940753
244	0.670872156
245	0.6708496616
246	0.6708058175
247	0.6706144464
248	0.6705770226
249	0.6705526084
250	0.6704546003
251	0.6704137792
252	0.6702638188
253	0.6702201859
254	0.6701890082
255	0.6701519134
256	0.6701085651
257	0.6700528271
258	0.6700274549
259	0.6699885088
260	0.6699614451
261	0.6699473633
262	0.6699158928
263	0.6698871153
264	0.6698151389
265	0.6697943839
266	0.6697431956
267	0.6696812779
268	0.6696401332
269	0.6696152068
270	0.6695667781
271	0.6695286024
272	0.6694836052
273	0.669445553
274	0.669406213
275	0.6693691403
276	0.6693162154
277	0.6692943076
278	0.669220404
279	0.6691712542
280	0.6691480812
281	0.669107248
282	0.6690515754
283	0.6690159449
284	0.6689364586
285	0.6688877782
286	0.668824952
287	0.6688057853
288	0.6687209822
289	0.6687005523
290	0.6686592346
291	0.6686201534
292	0.668564677
293	0.6685317324
294	0.668479425
295	0.6684567876
296	0.6684133843
297	0.6683828319
298	0.6683650237
299	0.6683210632
300	0.6682711637
301	0.6682558915
302	0.6682174478
303	0.6681928443
304	0.6681474207
305	0.6680750845
306	0.6680393577
307	0.6679918396
308	0.6679231561
309	0.6678195342
310	0.6677689243
311	0.6677275654
312	0.6676907033
313	0.6676486064
314	0.6676031165
315	0.6675727058
316	0.6675392163
317	0.6675307514
318	0.6674808732
319	0.6674096364
320	0.6673587967
321	0.6672679152
322	0.6672250352
323	0.6671946237
324	0.6671562484
325	0.6670422371
326	0.6670160018
327	0.6669817532
328	0.6669337925
329	0.6669064027
330	0.6668764207
331	0.6668430933
332	0.6668268538
333	0.666782417
334	0.6667368255
335	0.6666811677
336	0.6666496048
337	0.6665935121
338	0.6665561876
339	0.6665255294
340	0.6665013794
341	0.6664532878
342	0.666359619
343	0.6663189321
344	0.6662901296
345	0.6662704789
346	0.6662414829
347	0.6661976384
348	0.6661547963
349	0.666123705
350	0.6660865515
351	0.6660093161
352	0.665958699
353	0.6659165633
354	0.6658761125
355	0.6658510193
356	0.665815882
357	0.6658010868
358	0.6657737759
359	0.665737779
360	0.6657106971
361	0.6656923979
362	0.6656659987
363	0.6656419818
364	0.6656019754
365	0.6655737516
366	0.6655355363
367	0.665477452
368	0.6654599821
369	0.6654350849
370	0.665383434
371	0.6653588746
372	0.6653125076
373	0.6652908916
374	0.6652580709
375	0.6652271896
376	0.665193737
377	0.6651431268
378	0.6650903299
379	0.6650729778
380	0.6650502732
381	0.6650024115
382	0.6649729692
383	0.664945564
384	0.6649196701
385	0.6648826141
386	0.6648538518
387	0.6648250937
388	0.6647954531
389	0.6647672165
390	0.6647302008
391	0.664701879
392	0.6646818286
393	0.6646582606
394	0.6646381119
395	0.6646109888
396	0.6645529121
397	0.6645154465
398	0.6644888937
399	0.6644596364
400	0.6644364733
401	0.6643840506
402	0.6643638452
403	0.664306006
404	0.6642707038
405	0.6641951737
406	0.6641592906
407	0.6641190765
408	0.6640772748
409	0.6640442887
410	0.6640212972
411	0.6639874756
412	0.6639624627
413	0.6639256355
414	0.6638846994
415	0.66385656
416	0.6638302524
417	0.6638067922
418	0.6637829825
419	0.6637338342
420	0.6637051318
421	0.6636718668
422	0.663655723
423	0.663612383
424	0.6636014105
425	0.6635832351
426	0.6635548678
427	0.6635252396
428	0.6634958291
429	0.6634537596
430	0.6634174453
431	0.6633983449
432	0.6633911989
433	0.6633626186
434	0.6633172038
435	0.6632965005
436	0.6632506126
437	0.6632178567
438	0.6631923297
439	0.6631774006
440	0.6631005184
441	0.6630783341
442	0.6630419755
443	0.663030027
444	0.6630214359
445	0.6629829648
446	0.6629784114
447	0.6629575712
448	0.6628879661
449	0.6628582099
450	0.6628408976
451	0.6628217938
452	0.6628056395
453	0.6627835186
454	0.6627399047
455	0.6627063893
456	0.6626729279
457	0.66263517
458	0.6625946927
459	0.6625704834
460	0.6625399111
461	0.6625140452
462	0.6624961262
463	0.6624717941
464	0.6624397347
465	0.6624049342
466	0.6623675831
467	0.6623313884
468	0.6622923119
469	0.6622704007
470	0.6622340047
471	0.6621991411
472	0.6621699595
473	0.662146481
474	0.6621172075
475	0.6620940645
476	0.6620459845
477	0.6620238098
478	0.6619980797
479	0.6619805055
480	0.661946331
481	0.6619188509
482	0.6619020254
483	0.6618779772
484	0.6618577009
485	0.6618358305
486	0.6618095014
487	0.6617910849
488	0.6617386664
489	0.6617211937
490	0.6617079122
491	0.6616907033
492	0.6615738202
493	0.6615543773
494	0.6615247899
495	0.6614990279
496	0.6614845813
497	0.6614686957
498	0.6614409825
499	0.6614178657
500	0.6614112257
501	0.6613987715
502	0.6613748166
503	0.6613520569
504	0.6613372678
505	0.6613027179
506	0.6612883058
507	0.6612737822
508	0.6612583773
509	0.6612417952
510	0.6612221384
511	0.6612074097
512	0.6611900746
513	0.6611588395
514	0.6611244611
515	0.661103435
516	0.6610863963
517	0.6610541653
518	0.6610227472
519	0.6610134252
520	0.6609993473
521	0.6609777724
522	0.6609466502
523	0.6609398259
524	0.6609111656
525	0.6608728132
526	0.6608511543
527	0.6608206416
528	0.6607887589
529	0.6607647215
530	0.6607379721
531	0.6607150992
532	0.6607052657
533	0.6606768352
534	0.660656935
535	0.6606497186
536	0.6606217525
537	0.6605929449
538	0.6605759482
539	0.6605544783
540	0.6605355192
541	0.6605091083
542	0.6604862525
543	0.6604740818
544	0.6604193632
545	0.6604069289
546	0.6603907055
547	0.6603731078
548	0.6603471954
549	0.6603172795
550	0.6602909023
551	0.6602748105
552	0.6602480321
553	0.6602351808
554	0.66021444
555	0.6601845383
556	0.6601647346
557	0.6601364956
558	0.6600981639
559	0.6600800434
560	0.6600648026
561	0.6600519339
562	0.6600316371
563	0.6600054546
564	0.6599929461
565	0.6599805598
566	0.6599679387
567	0.6599183502
568	0.6598970711
569	0.6598785532
570	0.6598341278
571	0.6598070691
572	0.6597853001
573	0.6597633473
574	0.6597394163
575	0.6597226618
576	0.6597046858
577	0.6596750144
578	0.6596599387
579	0.6596454847
580	0.6596309464
581	0.6596134715
582	0.6595983442
583	0.6595817301
584	0.6595655406
585	0.6595581407
586	0.6595348249
587	0.6595058105
588	0.6594803077
589	0.6594600121
590	0.6594295853
591	0.6594017635
592	0.6593838869
593	0.6593718459
594	0.6593481186
595	0.6592229957
596	0.6591962468
597	0.6591861493
598	0.659159462
599	0.6591133535
600	0.6590952398
601	0.6590672563
602	0.6590360517
603	0.6590246439
604	0.659013952
605	0.6589879461
606	0.6589824506
607	0.6589541539
608	0.6589382806
609	0.658927496
610	0.658914421
611	0.6588968135
612	0.6588222464
613	0.658813159
614	0.6587967738
615	0.6587787097
616	0.6587494635
617	0.6587312004
618	0.6587165203
619	0.6586953374
620	0.6586730554
621	0.6586476637
622	0.6586204635
623	0.6586100612
624	0.6585866034
625	0.6585750502
626	0.6585638173
627	0.6585296773
628	0.6585056249
629	0.658490525
630	0.6584838634
631	0.6584627024
632	0.6584523765
633	0.6584339085
634	0.6584277677
635	0.6584099698
636	0.6583556325
637	0.6583435868
638	0.6583139361
639	0.6582907463
640	0.6582808695
641	0.6582566592
642	0.6582423693
643	0.658222864
644	0.6581988446
645	0.6581791984
646	0.6581595461
647	0.6581361713
648	0.6581032572
649	0.6580626629
650	0.658044424
651	0.6580212317
652	0.6580002919
653	0.657969884
654	0.6579496679
655	0.6579387377
656	0.6579253885
657	0.6578982846
658	0.6578885132
659	0.6578644463
660	0.6578307192
661	0.6578238313
662	0.6577975904
663	0.6577558121
664	0.6577323189
665	0.6576589316
666	0.6576271113
667	0.657597697
668	0.6575866789
669	0.6575717515
670	0.6575631699
671	0.6575346671
672	0.6575219662
673	0.6575083983
674	0.6574775881
675	0.6574683924
676	0.6574558661
677	0.6574302173
678	0.657424109
679	0.657413325
680	0.6574029428
681	0.6573893233
682	0.657382628
683	0.6573587604
684	0.6573427388
685	0.657329606
686	0.6573166325
687	0.6572962733
688	0.6572803025
689	0.657268257
690	0.6572375709
691	0.6572230712
692	0.6571875637
693	0.6571779159
694	0.6571682474
695	0.6571558832
696	0.6571352581
697	0.657113914
698	0.6571001455
699	0.6570845035
700	0.6570563121
701	0.6570441486
702	0.6570326584
703	0.6569836733
704	0.6569687765
705	0.6569100437
706	0.6568945134
707	0.6568773347
708	0.6568639797
709	0.6568266555
710	0.656814284
711	0.6568017134
712	0.6567910285
713	0.65677035
714	0.6567545474
715	0.6567324723
716	0.6567176844
717	0.6566882823
718	0.656677911
719	0.6566617933
720	0.6566299024
721	0.6566229204
722	0.6565983977
723	0.6565939601
724	0.6565866242
725	0.6565648293
726	0.6565462128
727	0.6565166972
728	0.6565044118
729	0.6564888516
730	0.6564682547
731	0.6564531793
732	0.656440022
733	0.6564159691
734	0.6564033853
735	0.6563758424
736	0.6563520257
737	0.6563284258
738	0.6563156033
739	0.6563028269
740	0.656280919
741	0.6562551231
742	0.6562307056
743	0.6562134101
744	0.6562038146
745	0.6561949439
746	0.6561916632
747	0.6561794303
748	0.6561623083
749	0.6561431446
750	0.6561364598
751	0.6561145916
752	0.6561025231
753	0.6560877382
754	0.6560759303
755	0.6560468267
756	0.6560312885
757	0.6560211456
758	0.6560122439
759	0.6559925814
760	0.6559832097
761	0.6559723963
762	0.6559658256
763	0.655937054
764	0.6559096202
765	0.6558883293
766	0.6558806713
767	0.6558692344
768	0.6558634691
769	0.6558419856
770	0.6558230736
771	0.6557882456
772	0.6557710592
773	0.6557613979
774	0.6557506545
775	0.6557432397
776	0.6557406185
777	0.6557120486
778	0.6557028463
779	0.6556868495
780	0.6556777233
781	0.6556644957
782	0.6556551291
783	0.6556349396
784	0.6556257071
785	0.6555982133
786	0.6555766363
787	0.6555646395
788	0.6555502756
789	0.6555252807
790	0.6554943824
791	0.6554816138
792	0.6554599433
793	0.6554541088
794	0.6554087746
795	0.6553975864
796	0.6553680698
797	0.6553562373
798	0.6553393201
799	0.6553293675
800	0.6553133084
801	0.6552960647
802	0.6552815635
803	0.6552496805
804	0.6552330644
805	0.6552185988
806	0.6552092743
807	0.6551925234
808	0.655182548
809	0.6551605581
810	0.6551534868
811	0.6551369815
812	0.655109497
813	0.6550822272
814	0.6550684806
815	0.6550458424
816	0.6550326964
817	0.6550099137
818	0.6550019495
819	0.6549871883
820	0.6549780175
821	0.6549568689
822	0.6549524255
823	0.6549308746
824	0.6549069419
825	0.6548911485
826	0.6548719503
827	0.6548621829
828	0.6548495767
829	0.6548310097
830	0.6547943863
831	0.6547718559
832	0.6547578501
833	0.6547374182
834	0.6547290619
835	0.6546953246
836	0.6546813285
837	0.6546713211
838	0.6546637531
839	0.6546528546
840	0.6546367326
841	0.6546260691
842	0.6546156192
843	0.6545956803
844	0.6545585571
845	0.6545401556
846	0.6545263574
847	0.6545032276
848	0.6544933963
849	0.6544742698
850	0.6544680331
851	0.6544567192
852	0.6544446487
853	0.6544331056
854	0.6544239847
855	0.6544040835
856	0.6543935015
857	0.65438356
858	0.6543800628
859	0.6543425569
860	0.6543343111
861	0.654323506
862	0.6543047942
863	0.6542789617
864	0.6542472152
865	0.6542401414
866	0.6542162425
867	0.6542038821
868	0.6541908349
869	0.6541825671
870	0.6541699768
871	0.654153059
872	0.6541446866
873	0.6541032168
874	0.654087607
875	0.6540660698
876	0.6540317649
877	0.6540072576
878	0.6539977018
879	0.6539878775
880	0.6539634958
881	0.6539418925
882	0.6539386004
883	0.6539283081
884	0.6539102632
885	0.6538818372
886	0.6538658029
887	0.6538573078
888	0.6538470362
889	0.6538284289
890	0.6538197866
891	0.6538014354
892	0.6537749007
893	0.6537639393
894	0.6537537227
895	0.6537385729
896	0.6537175459
897	0.6537132102
898	0.6536992091
899	0.6536877572
900	0.6536841419
901	0.6536784238
902	0.6536686448
903	0.6536395362
904	0.6536275363
905	0.6536076692
906	0.6536046025
907	0.6535919084
908	0.653571862
909	0.6535492491
910	0.6535252439
911	0.6534975837
912	0.6534843383
913	0.6534754891
914	0.6534608979
915	0.6534504182
916	0.653447523
917	0.65344221
918	0.6534267377
919	0.6534064272
920	0.6534019724
921	0.6533922664
922	0.6533852627
923	0.6533822967
924	0.6533750592
925	0.6533704232
926	0.6533611428
927	0.6533500466
928	0.6533406662
929	0.6533181117
930	0.6533017749
931	0.6532907673
932	0.6532853085
933	0.6532833724
934	0.6532762992
935	0.6532626862
936	0.6532405681
937	0.6532353483
938	0.6532165295
939	0.6532109929
940	0.6531962856
941	0.6531853022
942	0.6531777395
943	0.6531646028
944	0.6531608551
945	0.6531536516
946	0.6531375703
947	0.6531250057
948	0.6531099776
949	0.6530936808
950	0.653073989
951	0.6530446838
952	0.6530352619
953	0.6530278863
954	0.6530222006
955	0.6530163588
956	0.6530083233
957	0.6529908382
958	0.6529710453
959	0.6529558789
960	0.6529289703
961	0.6529079563
962	0.6528960509
963	0.6528913325
964	0.652880031
965	0.6528589293
966	0.6528533239
967	0.6528371519
968	0.6528203688
969	0.6528024709
970	0.6527645815
971	0.6527522947
972	0.652734135
973	0.6527242709
974	0.6527093811
975	0.6526926931
976	0.6526800904
977	0.6526720724
978	0.6526436444
979	0.652606455
980	0.652595281
981	0.6525752736
982	0.6525579342
983	0.6525359763
984	0.6525187125
985	0.6525044275
986	0.65249833
987	0.6524868622
988	0.6524786386
989	0.6524715653
990	0.6524673599
991	0.6524557147
992	0.65244171
993	0.6524261132
994	0.6524175265
995	0.6524083764
996	0.6524069602
997	0.6523881445
998	0.65237304
999	0.6523586094
